name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Newcastle Upon Tyne,2021-12-17,7.8,-1.7,2.7,7.8,-1.7,2.1,2,95.6,0.314,100,8.33,rain,0,0,10.7,10.3,239.9,1041,6.3,9.4,22.3,1.9,1,,2021-12-17T08:27:00,2021-12-17T15:38:18,0.44,Rain,Clear conditions throughout the day with rain.,rain,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
Newcastle Upon Tyne,2021-12-18,4.9,-2.7,0.2,4.9,-5.2,-0.5,-0.1,98.2,0.053,100,8.33,"rain,snow",0,0.1,10.7,8.6,223.7,1039.5,33.5,7.2,17.5,1.4,1,,2021-12-18T08:27:44,2021-12-18T15:38:34,0.48,"Snow, Rain, Partially cloudy",Clearing in the afternoon with rain or snow in the morning and afternoon.,rain,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
Newcastle Upon Tyne,2021-12-19,3.9,1,2.8,3.9,-0.9,1.9,2.8,99.9,0.987,100,37.5,"rain,snow",0,0,10.5,7.1,288.9,1035.6,97.1,4.3,6.9,0.5,0,,2021-12-19T08:28:25,2021-12-19T15:38:54,0.5,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999,D5933"
Newcastle Upon Tyne,2021-12-20,5.9,3.9,4.5,5.8,3.9,4.4,2.6,88.4,0.732,100,33.33,rain,0,0,12.1,5.3,35.9,1030.1,92,9.7,9.7,0.9,0,,2021-12-20T08:29:02,2021-12-20T15:39:18,0.54,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
Newcastle Upon Tyne,2021-12-21,3.9,0.9,2.6,3.9,-2.3,1.3,-0.2,82.3,0,0,0,,0,0,13.1,10.6,210.7,1024.7,96,11.8,7.5,0.6,0,,2021-12-21T08:29:35,2021-12-21T15:39:45,0.58,Overcast,Cloudy skies throughout the day.,cloudy,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999,D5933"
Newcastle Upon Tyne,2021-12-22,2,-1.5,0.8,1.9,-2.4,-0.3,-0.3,92.6,1.533,100,29.17,"rain,snow",0,0,14.5,9.3,177.2,1015.2,56.9,6.5,10.8,0.9,1,,2021-12-22T08:30:04,2021-12-22T15:40:17,0.61,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999,AS567"
Newcastle Upon Tyne,2021-12-23,6,2,4.6,6,2,4.5,4.4,98.7,5.069,100,66.67,rain,0,0,12.6,5.5,306,1003,95,3.3,6.3,0.5,0,,2021-12-23T08:30:29,2021-12-23T15:40:53,0.65,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999,D5933"
Newcastle Upon Tyne,2021-12-24,6,2.9,4.8,5,-0.1,2.8,3,89.2,2.24,100,45.83,rain,0,0,28.3,21.7,53.4,1004.5,91.1,11.7,9.3,0.7,1,,2021-12-24T08:30:50,2021-12-24T15:41:32,0.68,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999,AS567"
Newcastle Upon Tyne,2021-12-25,3.9,1.7,3.2,1.6,-2.7,-0.7,-2,69.2,0.842,100,12.5,rain,0,0,40.3,26.8,114.2,1007.7,61.1,13.8,14.8,1.2,1,,2021-12-25T08:31:07,2021-12-25T15:42:16,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
Newcastle Upon Tyne,2021-12-26,4.9,1.9,3.4,3.7,-2.3,0.8,1.8,90.1,5.093,100,58.33,"rain,snow",0,0,32.7,16.6,133,1001.5,90.4,8.1,5.1,0.5,0,,2021-12-26T08:31:20,2021-12-26T15:43:03,0.75,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999,D5933"
Newcastle Upon Tyne,2021-12-27,7.8,3,4.9,5.9,1.3,3.4,4.6,98.6,0.748,100,16.67,rain,0,0,17.1,11.5,137,992.1,95.4,6.1,3.5,0.2,0,,2021-12-27T08:31:29,2021-12-27T15:43:54,0.75,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
Newcastle Upon Tyne,2021-12-28,7.9,2.9,7.2,6.5,0.9,5,6.9,98.2,6.065,100,54.17,rain,0,0,22.8,20.7,351.4,990.4,91.1,8,5.5,0.4,0,,2021-12-28T08:31:34,2021-12-28T15:44:48,0.82,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
Newcastle Upon Tyne,2021-12-29,11.8,0.2,6.1,11.8,0.2,5.2,4.3,89.2,6.558,100,33.33,rain,0,0,66.9,45.6,237.4,995.5,45.1,9.4,7.2,0.6,0,,2021-12-29T08:31:36,2021-12-29T15:45:46,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
Newcastle Upon Tyne,2021-12-30,13.9,8.3,11.5,13.9,6.9,11.3,9.1,85.3,1.221,100,37.5,rain,0,0,39.6,26.4,239.8,1001.3,42.9,17.7,19.2,1.5,1,,2021-12-30T08:31:33,2021-12-30T15:46:48,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
Newcastle Upon Tyne,2021-12-31,12.9,10,11.7,12.9,10,11.7,9.6,87.5,15.894,100,50,rain,0,0,38.1,28.4,232.6,1006.6,79.3,9.5,13.3,1.1,1,,2021-12-31T08:31:26,2021-12-31T15:47:53,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
Newcastle Upon Tyne,2022-01-01,13.9,10.8,12.1,13.9,10.8,12.1,8,76.3,0.202,100,12.5,rain,0,0,52.2,34.2,209.8,1006.9,36.7,12,15.7,1.2,1,,2022-01-01T08:31:15,2022-01-01T15:49:02,0.96,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
Newcastle Upon Tyne,2022-01-02,10.8,7.6,9.4,10.8,5.1,7.5,5.5,76.6,0.25,100,16.67,rain,0,0,37.7,25.1,227.1,999.9,32.5,12.6,16.3,1.3,1,,2022-01-02T08:31:00,2022-01-02T15:50:14,0,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
Newcastle Upon Tyne,2022-01-03,9.8,0.9,6.5,6.5,-1.9,3.1,2.8,79,6.315,100,54.17,"rain,snow",0,0,60.1,44,254.7,997.4,73.8,10.7,23.1,2,1,,2022-01-03T08:30:42,2022-01-03T15:51:29,0.02,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"03243399999,EGNT,D7177,03240099999,03230099999,03238099999"
Newcastle Upon Tyne,2022-01-04,1,-2.1,-0.2,-2,-6.3,-4.8,-2.4,84.9,0,0,0,,0,0,42.6,33.8,262.6,999.1,2.9,12.7,26.3,2.2,2,,2022-01-04T08:30:19,2022-01-04T15:52:47,0.06,Clear,Clear conditions throughout the day.,clear-day,"03243399999,EGNT,D7177,03240099999,03230099999,03238099999"
